id;x;y;z;zoneid;zonename;ap1;ap2;ap3;ap4;ap5;ap6;ap7;ap8;ap9;ap10;ap11;ap12;ap13;ap14;ap15;ap16;ap17;ap18;ap19;ap20;ap21;ap22;ap23;ap24;ap25;ap26;ap27;ap28;ap29;ap30;ap31;ap32
04550b4e-b5fc-4665-a043-18e82e94399a;8.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-70.0;;-80.0;;;-83.0;;;-82.0;-74.0;-53.0;-83.0;;;-63.0;-55.0;-57.0;-78.0;-79.0;-74.0;-73.0;;;;;-65.0;;;;;
93645336-eb2d-4983-950f-cb0e4191b986;12.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-69.0;;-82.0;;;-75.0;;;;-82.0;-68.0;;;;-65.0;-75.0;-81.0;-79.0;-80.0;-73.0;-73.0;;;;;-72.0;;-85.0;;;
7f210fdb-7018-454c-978b-9a595ee39130;23.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-65.0;;-79.0;;;-81.0;;-85.0;;;-75.0;;;;-79.0;-74.0;-82.0;-82.0;-81.0;-86.0;-86.0;;;;;-85.0;-86.0;-72.0;;;
d9b0c804-5886-4b69-a65a-0ea9a423f5df;26.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-75.0;;-66.0;;;-83.0;-78.0;-75.0;;;-75.0;;;;-84.0;;;-66.0;-64.0;-85.0;-85.0;;;;;-89.0;;-85.0;;;
d1bdb07f-23c9-4d73-a2c5-e24642778075;24.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-76.0;;-83.0;;;-86.0;;-82.0;;;-82.0;;;;;-84.0;-81.0;-80.0;-82.0;-86.0;-87.0;;;;;-81.0;;-89.0;;;
65a9829f-ce68-4974-ade0-bf9d75e7e667;17.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-66.0;;-80.0;;;-75.0;-87.0;-86.0;;;-70.0;;;;-82.0;;-82.0;-72.0;-72.0;-80.0;-76.0;;;;;-82.0;;-73.0;;;
aded8741-7dae-4c72-b2b1-7f76f63db10c;28.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-75.0;;-72.0;;;;-89.0;-82.0;;;;;;;;;;-73.0;-73.0;;;;;;;;;;;;
587c44e5-4869-4400-bca0-8325dddbbedd;6.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-79.0;;;;;-93.0;;;;-81.0;-75.0;;;;-74.0;-60.0;-60.0;-80.0;;-82.0;-83.0;;;;;-65.0;;;;;
8b5d4222-e5b2-4091-b6ed-657243288cf1;16.0;9.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-64.0;;-88.0;;;-80.0;;;;;-77.0;;;;-83.0;-85.0;-85.0;-78.0;-80.0;-87.0;-89.0;;;;;-88.0;;-86.0;;;
e49d7d17-24a5-4a1f-86ec-d7a1669a1aa5;11.0;8.0;4.4;07a25de0-a013-486d-9463-404a348e05ee;1st Floor East Corridor;;-57.0;;;;;-81.0;;;;-80.0;-55.0;;;;-59.0;-73.0;-76.0;-78.0;-79.0;-70.0;-69.0;;;;;-74.0;;;;;
