"measId";"measTimestamp";"Position X";" Position Y";"Position Z";"zoneId";"Zonename";"meas X";"meas Y";"meas Z";"gpsLatitude";"gpsLongitude";"gpsAltitude";"N";"109.0";"AIT-L15";"aut-sams-1";"bolyai_E4_floor3";"Bosch_Telemetry";"dd";"doa2";"doa200";"doa203";"doa207";"doa208";"doa6";"EET_3";"FRM";"GEIAKFSZ";"IITAP1";"IITAP1-GUEST";"IITAP2";"IITAP2-GUEST";"IITAP3";"IITAP3-GUEST";"info";"info2";"KEMA10";"kemA4";"KRZ";"library114";"TP-LINK_B2765A";"UPC Wi-Free";"UPC8902044";"wireless";"00:16:53:4C:B1:F9";"00:16:53:4C:B2:02";"00:16:53:4C:B4:EB";"00:16:53:4C:E9:1D";"00:16:53:4C:F2:6A";"00:16:53:4C:F5:2D";"00:16:53:4C:F9:A4";"00:16:53:4C:FA:60";"00:16:53:4C:FA:67";"48:5A:B6:54:35:DC";"6B:C2:26:12:62:60";"DANI 6B:C2:26:12:62:60";"DM06082 48:5A:B6:54:35:DC";"EV3 00:16:53:4C:E9:1D";"EV3 00:16:53:4C:F2:6A";"EV3 00:16:53:4C:FA:60";"EV3 00:16:53:4C:FA:67";"EV3BD 00:16:53:4C:F5:2D";"IZE 00:16:53:4C:B1:F9";"JOE 00:16:53:4C:F9:A4";"MEGAROBOT 00:16:53:4C:B2:02";"MrEv3 00:16:53:4C:B4:EB"
"04550b4e-b5fc-4665-a043-18e82e94399a";"2016-02-27 16:40:22.0";8.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.11991008371114731";"-0.9326502084732056";"0.04995839670300484";"null";"null";"null";"null";"-70";"null";"-80";"null";"null";"-83";"null";"null";"-82";"-74";"-53";"-83";"null";"null";"-63";"-55";"-57";"-78";"-79";"-74";"-73";"null";"null";"null";"null";"-65";"null";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
"93645336-eb2d-4983-950f-cb0e4191b986";"2016-02-27 16:43:13.0";12.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"1.2754358053207397";"-1.0243749618530273";"0.058755822479724884";"null";"null";"null";"null";"-69";"null";"-82";"null";"null";"-75";"null";"null";"null";"-82";"-68";"null";"null";"null";"-65";"-75";"-81";"-79";"-80";"-73";"-73";"null";"null";"null";"null";"-72";"null";"-85";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"7f210fdb-7018-454c-978b-9a595ee39130";"2016-02-27 16:50:48.0";23.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"-0.5067219138145447";"-0.964530348777771";"0.055498506873846054";"null";"null";"null";"null";"-65";"null";"-79";"null";"null";"-81";"null";"-85";"null";"null";"-75";"null";"null";"null";"-79";"-74";"-82";"-82";"-81";"-86";"-86";"null";"null";"null";"null";"-85";"-86";"-72";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
"d9b0c804-5886-4b69-a65a-0ea9a423f5df";"2016-02-27 16:53:22.0";26.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.5576982498168945";"-0.9501438140869141";"0.12750956416130066";"null";"null";"null";"null";"-75";"null";"-66";"null";"null";"-83";"-78";"-75";"null";"null";"-75";"null";"null";"null";"-84";"null";"null";"-66";"-64";"-85";"-85";"null";"null";"null";"null";"-89";"null";"-85";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"d1bdb07f-23c9-4d73-a2c5-e24642778075";"2016-02-27 16:51:31.0";24.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"-0.4625959098339081";"-0.7171156406402588";"0.08314123004674911";"null";"null";"null";"null";"-76";"null";"-83";"null";"null";"-86";"null";"-82";"null";"null";"-82";"null";"null";"null";"null";"-84";"-81";"-80";"-82";"-86";"-87";"null";"null";"null";"null";"-81";"null";"-89";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
"65a9829f-ce68-4974-ade0-bf9d75e7e667";"2016-02-27 16:46:41.0";17.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"-0.763205349445343";"-1.0051047801971436";"-0.03029376082122326";"null";"null";"null";"null";"-66";"null";"-80";"null";"null";"-75";"-87";"-86";"null";"null";"-70";"null";"null";"null";"-82";"null";"-82";"-72";"-72";"-80";"-76";"null";"null";"null";"null";"-82";"null";"-73";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"aded8741-7dae-4c72-b2b1-7f76f63db10c";"2016-02-27 16:54:46.0";28.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.901811420917511";"-0.8653743863105774";"0.11315097659826279";"null";"null";"null";"null";"-75";"null";"-72";"null";"null";"null";"-89";"-82";"null";"null";"null";"null";"null";"null";"null";"null";"null";"-73";"-73";"null";"null";"null";"null";"null";"null";"null";"null";"null";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"587c44e5-4869-4400-bca0-8325dddbbedd";"2016-02-27 16:38:42.0";6.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.344791442155838";"-0.75142502784729";"0.08314123004674911";"null";"null";"null";"null";"-79";"null";"null";"null";"null";"-93";"null";"null";"null";"-81";"-75";"null";"null";"null";"-74";"-60";"-60";"-80";"null";"-82";"-83";"null";"null";"null";"null";"-65";"null";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0
"8b5d4222-e5b2-4091-b6ed-657243288cf1";"2016-02-27 16:46:05.0";16.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"-1.1264041662216187";"-1.0932244062423706";"0.03332099691033363";"null";"null";"null";"null";"-64";"null";"-88";"null";"null";"-80";"null";"null";"null";"null";"-77";"null";"null";"null";"-83";"-85";"-85";"-78";"-80";"-87";"-89";"null";"null";"null";"null";"-88";"null";"-86";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"e49d7d17-24a5-4a1f-86ec-d7a1669a1aa5";"2016-02-27 16:41:58.0";11.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"2.6117773056030273";"-1.0577113628387451";"0.12062367051839828";"null";"null";"null";"null";"-57";"null";"null";"null";"null";"-81";"null";"null";"null";"-80";"-55";"null";"null";"null";"-59";"-73";"-76";"-78";"-79";"-70";"-69";"null";"null";"null";"null";"-74";"null";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0
"7693e9a2-a557-4ba4-bc5c-0555c7cc026d";"2016-02-27 16:55:40.0";29.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"-1.2379353046417236";"-0.7648929357528687";"0.019997332245111465";"null";"null";"null";"null";"-76";"null";"-76";"null";"null";"-84";"-75";"-68";"null";"null";"-75";"null";"null";"null";"-81";"null";"-90";"-76";"-66";"-79";"-79";"null";"null";"null";"null";"null";"-72";"-89";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"d9ec11c6-cce5-4b24-aee1-2a57bfa8641a";"2016-02-27 16:39:20.0";7.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.1540733426809311";"-0.6580809950828552";"-0.03771795332431793";"null";"null";"null";"null";"-74";"null";"null";"null";"null";"-89";"null";"null";"null";"-71";"-68";"null";"null";"null";"-71";"-56";"-57";"null";"null";"-82";"-81";"null";"null";"null";"null";"-67";"null";"null";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0
"4046b713-4cf6-4aff-bf5e-87613f787d49";"2016-02-27 16:39:57.0";8.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.07010242342948914";"-1.0301744937896729";"0.030293762683868408";"null";"null";"null";"null";"-61";"null";"null";"null";"null";"-83";"null";"-89";"null";"-69";"-60";"null";"null";"null";"-60";"-63";"-64";"-77";"-77";"-65";"-65";"null";"null";"null";"null";"-68";"-87";"null";"null";"null";"null";1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"58ffa7b9-060a-4a72-b4f2-a12fb6240f92";"2016-02-27 16:42:33.0";11.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"1.0308419466018677";"-0.9177911281585693";"0.025635408237576485";"null";"null";"null";"null";"-64";"null";"null";"null";"null";"null";"null";"null";"null";"-81";"-63";"null";"null";"null";"-59";"-74";"-73";"null";"null";"-65";"-65";"null";"null";"null";"null";"-71";"null";"null";"null";"null";"null";1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"503a85f2-bc52-4882-ab86-4177f6ebafcc";"2016-02-27 16:48:03.0";20.0;8.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"0.74576735496521";"-0.6939806342124939";"0.05549851059913635";"null";"null";"null";"null";"-77";"null";"-82";"null";"null";"-68";"null";"-82";"null";"null";"-83";"null";"null";"null";"-88";"null";"null";"-84";"-82";"-79";"-79";"null";"null";"null";"null";"-83";"-80";"-70";"null";"null";"null";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0
"1eed1c82-6a69-498a-ad17-e4f2177edaf8";"2016-02-27 16:38:14.0";6.0;9.0;4.4;"07a25de0-a013-486d-9463-404a348e05ee";"1st Floor East Corridor";"-1.1529593467712402";"-1.005916714668274";"0.08314123004674911";"null";"null";"null";"null";"-75";"null";"null";"null";"null";"-91";"null";"null";"null";"-74";"-69";"null";"null";"null";"-68";"-60";"-61";"null";"null";"-81";"-81";"null";"null";"null";"null";"-60";"null";"null";"null";"null";"null";1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
