room,x,y,z,dist,correlation,diff,beacon,present
Lecture Hall XXVI,40.0,23.0,4.4,3.61,0.88,11.25,2.64,False
Ground Floor Lobby,34.0,10.0,1.5,22.86,0.86,37.72,22.39,False
1st Floor East Corridor,29.0,8.0,4.4,19.03,0.57,32.36,19.42,False
Ground Floor Lobby,45.0,17.0,1.5,28.01,0.71,37.25,19.39,False
1st Floor Lobby,38.0,11.0,4.4,11.18,0.89,21.79,9.34,False
Lab 104,8.0,28.0,4.4,23.32,0.22,35.93,22.66,False
1st Floor Lobby,38.0,20.0,4.4,5.1,0.88,49.28,23.64,False
Ground Floor East Corridor,7.0,8.0,1.5,18.23,1.0,26.67,16.14,False
Lab 103,15.0,28.0,4.4,17.69,0.67,30.54,15.66,False
2nd Floor East Corridor,27.0,8.0,7.6,26.67,0.25,57.05,37.42,False
1st Floor Lobby,33.0,20.0,4.4,36.24,0.0,58.85,37.42,False
2nd Floor Lobby,36.0,13.0,7.6,29.0,0.57,48.44,28.4,False
1st Floor Lobby,36.0,16.0,4.4,15.62,1.0,35.51,20.97,False
Office 107b,2.0,5.0,4.4,40.31,0.0,44.92,28.36,False
Lab 101,31.0,24.0,4.4,4.24,1.0,26.68,11.42,False
Ground Floor East Corridor,15.0,9.0,1.5,15.05,0.22,44.85,22.66,False
Ground Floor East Corridor,20.0,9.0,1.5,14.91,0.29,51.73,28.4,False
2nd Floor Lobby,42.0,11.0,7.6,21.5,1.0,27.04,13.42,False
Lab 104,2.0,25.0,4.4,26.08,0.29,38.43,19.42,False
Lab 103,24.0,22.0,4.4,29.83,0.0,58.85,37.42,False
1st Floor Lobby,30.0,16.0,4.4,11.18,0.71,33.18,19.42,False
Lab 101,33.0,26.0,4.4,34.44,0.2,40.88,19.33,False
1st Floor North Corridor,9.0,11.0,4.4,7.0,1.0,26.33,10.67,False
2nd Floor Lobby,35.0,15.0,7.6,36.2,0.0,58.85,37.42,False
Lab 103,13.0,25.0,4.4,25.06,0.5,51.98,32.42,False
Lecture Hall XXVI,45.0,28.0,4.4,50.61,0.0,58.85,37.42,False
Lecture Hall XXVI,41.0,23.0,4.4,34.13,0.67,9.47,3.14,False
1st Floor Lobby,33.0,15.0,4.4,28.23,0.67,14.03,7.14,False
Lab 103,15.0,26.0,4.4,19.85,0.5,42.74,13.33,False
Lab 103,16.0,25.0,4.4,26.63,0.0,58.85,37.42,False
Lecture Hall XXVI,48.0,24.0,4.4,47.8,0.2,41.97,19.33,False
1st Floor East Corridor,6.0,9.0,4.4,28.43,0.29,38.74,19.42,False
1st Floor East Corridor,23.0,8.0,4.4,22.02,0.75,29.78,18.36,False
1st Floor Lobby,35.0,8.0,4.4,33.29,0.67,15.15,9.14,False
Ground Floor Lobby,47.0,17.0,1.5,41.1,0.67,23.21,20.14,False
Lecture Hall 205,4.0,10.0,7.6,45.81,0.2,36.55,23.03,False
Lab 103,14.0,27.0,4.4,7.07,1.0,16.61,10.86,False
2nd Floor North Corridor,9.0,12.0,7.6,19.68,0.33,37.42,22.66,False
2nd Floor East Corridor,8.0,7.0,7.6,8.67,1.0,49.76,32.42,False
1st Floor Lobby,38.0,11.0,4.4,37.85,0.0,58.85,37.42,False
Ground Floor East Corridor,16.0,7.0,1.5,21.22,0.33,28.91,20.14,False
Lecture Hall XXVI,44.0,24.0,4.4,47.85,0.0,58.85,37.42,False
2nd Floor West Corridor,6.0,19.0,7.6,31.74,0.75,38.37,23.36,False
Lab 102,27.0,23.0,4.4,8.94,0.86,19.91,5.39,False
2nd Floor Lobby,30.0,20.0,7.6,18.17,0.6,31.05,12.03,False
Lab 102,28.0,24.0,4.4,21.1,0.67,7.93,0.14,False
Lab 102,27.0,25.0,4.4,34.06,0.0,58.85,37.42,False
Ground Floor Lobby,42.0,9.0,1.5,19.63,1.0,16.18,3.03,False
Lecture Hall XXVI,48.0,25.0,4.4,21.93,0.44,28.88,0.34,False
2nd Floor Lobby,42.0,20.0,7.6,41.12,0.4,38.04,19.33,False
2nd Floor North Corridor,9.0,11.0,7.6,2.83,1.0,21.06,11.6,False
Ground Floor Lobby,49.0,20.0,1.5,22.33,0.57,33.05,19.42,False
Lecture Hall 205,7.0,11.0,7.6,5.94,0.9,50.77,13.33,False
Lab 104,9.0,23.0,4.4,37.34,0.2,34.73,23.03,False
Lab 104,1.0,24.0,4.4,18.25,0.43,22.91,8.39,False
1st Floor Lobby,37.0,14.0,4.4,15.81,0.71,41.67,19.42,False
Ground Floor East Corridor,11.0,8.0,1.5,25.66,0.0,43.29,19.42,False
2nd Floor West Corridor,23.0,21.0,7.6,7.89,0.86,34.56,14.39,False
2nd Floor Lobby,31.0,21.0,7.6,25.3,0.71,45.51,24.4,False
2nd Floor West Corridor,24.0,19.0,7.6,23.98,0.6,33.28,15.03,False
Lecture Hall 205,6.0,11.0,7.6,27.39,0.43,38.53,19.42,False
Ground Floor West Corridor,6.0,19.0,1.5,41.1,0.4,36.29,21.03,False
Ground Floor West Corridor,33.0,19.0,1.5,9.87,0.29,37.73,19.42,False
Office 107b,3.0,4.0,4.4,28.02,0.0,42.94,26.39,False
